CodeGeneration,Code,Generation,Name,Latitude,Longitude,Altitude,Earliest annual mean,Latest annual mean,Status,StatusCode,Responsible Institute(s),Notes
HHH1,HHH,1,Huhehaote,40.849,111.564,,,,Closed,3,,Opened 1981
HII1,HII,1,Heard Island,-53.033,73.367,,1948,1954,Closed,3,,
HIS1,HIS,1,Heiss Island (Druzhnaya),80.617,58.05,20,1959,1994,Closed,3,,
HKC1,HKC,1,Hong Kong,22.367,114.217,,1884,1928,Closed,3,,
HKW1,HKW,1,Hackney Wick,51.55,-0.033,,1813,1815,Closed,3,,
HKW2,HKW,2,Hackney Wick (Bushey Heath),51.633,-0.333,,1817,1822,Closed,3,,
HLL1,HLL,1,Hallett Station,-72.317,170.217,,1957,1962,Closed,3,,
HLP1,HLP,1,Hel,54.6035,18.8107,1,1901,,Open,2,http://www.igf.edu.pl/,missing annual means before 1953
HLS1,HLS,1,Helsinki,60.167,24.983,,1845,1909,Closed,3,,
HLW1,HLW,1,Helwan,29.858,31.342,,1903,1959,Closed,3,,
HMG1,HMG,1,Hamburg,53.55,9.983,,1885,1896,Closed,3,,
HNA1,HNA,1,Hollandia,-2.572,140.513,,1957,1962,Closed,3,,
HOB1,HOB,1,Hobarton (Van Diemen Island),-42.875,147.458,,,,Closed,3,,Scanned yearbooks in Edinburgh
HON1,HON,1,Honolulu 1,21.317,-158.067,,1902,1947,Closed,3,http://geomag.usgs.gov,
HON2,HON,2,Honolulu 2,21.32,-158.063,4,1947,1960,Closed,3,http://geomag.usgs.gov,
HON3,HON,3,Honolulu 3,21.3166,-157.9996,4,1961,,Open,2,http://geomag.usgs.gov,
HRB1,HRB,1,Hurbanovo,47.873,18.19,112,1893,,Open,2,http://www.geo.sav.sk/en/structure-of-the-institute/laboratories/geomagnetic-observatory/,
HRI1,HRI,1,Hayriver,60.8,-115.8,,,,Uncertain,0,,
HRN1,HRN,1,Hornsund,77,15.55,15,1978,,Open,2,http://hornsund.igf.edu.pl/,
HST1,HST,1,Holsteinsborg 1,66.867,-53.267,,1853,1853,Closed,3,,
HST2,HST,2,Holsteinsborg 2,66.933,-53.683,,1908,1908,Closed,3,,
HST3,HST,3,Holsteinsborg 3,66.933,-53.783,,1912,1912,Closed,3,,
HST4,HST,4,Holsteinsborg 4,66.933,-53.633,,1924,1925,Closed,3,,
HST5,HST,5,Holsteinsborg 5,66.95,-53.65,,1965,1965,Closed,3,,
HTY1,HTY,1,Hatizyo,33.073,139.825,220,1967,2008,Closed,3,,
HUA1,HUA,1,Huancayo,-12.045,-75.34,3313,1922,,Open,2,http://www.igp.gob.pe,operation 1992-96 uncertain
HUT1,HUT,1,Discovery Bay (Hut),-77.85,166.75,,1903,1903,Closed,3,,
HVN1,HVN,1,Havana 1,23.133,-82.35,,1897,1898,Closed,3,,
HVN2,HVN,2,Havana 2 ( Centro Geofisico),22.967,-82.15,,1964,1979,Closed,3,,
HVN3,HVN,3,Havana 3 (Jbn),22.983,-82.317,,1980,1987,Closed,3,,
